순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
22,투캅스 인 파리,2015-03-26,8740000 ,0.0000 ,34266000 ,1769 ,6786 ,5 ,35 ,프랑스,프랑스,,노바엔터테인먼트,청소년관람불가,"액션,코미디,범죄",다비드 샤혼,"오마 사이,로랑 라피트"
23,화이트 갓,2015-04-02,13441700 ,0.0010 ,16643700 ,1765 ,2141 ,23 ,270 ,헝가리,"헝가리,독일,스웨덴",,(주)나이너스엔터테인먼트,15세이상관람가,"드라마,스릴러",코르넬 문드럭초,"조피아 프소타,산도르 즈소테르"
24,헬머니,2015-03-05,12433800 ,0.0010 ,4118873972 ,1740 ,522727 ,16 ,167 ,한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선"
25,뷰티풀 라이,2015-03-26,11450600 ,0.0000 ,110254200 ,1655 ,14756 ,15 ,102 ,미국,미국,,씨제이이앤엠(주),12세이상관람가,드라마,필리프 팔라도,"리즈 위더스푼,아놀드 오셍,게르 두아니,엠마뉴엘 잘"
26,약장수,2015-04-23,13088000 ,0.0010 ,14776000 ,1636 ,1847 ,6 ,6 ,한국,한국,(주)26컴퍼니,"(주)대명문화공장,(주)나이너스엔터테인먼트",15세이상관람가,드라마,조치언,"김인권,박철민,이주실,임석진,강일수,박지윤,박혜진,최민혁,윤준혁,이은주,김형범,장소연,조민기,이찬호"
27,리바이어던,2015-03-19,12323900 ,0.0010 ,73834000 ,1616 ,9277 ,17 ,107 ,러시아,러시아,,오드,청소년관람불가,"가족,드라마",안드레이 즈비아진체프,"알렉세이 세레브리야코프,엘레나 리야도바"
28,마담 보바리,2015-04-02,10746000 ,0.0000 ,17962000 ,1501 ,2403 ,32 ,305 ,프랑스,프랑스,,에이원엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마",앤 폰테인,"젬마 아터튼,파브리스 루치니"
29,추억의 마니,2015-03-19,11626000 ,0.0010 ,273144900 ,1470 ,35639 ,17 ,100 ,일본,일본,,(주)이수C&E,전체관람가,애니메이션,요네바야시 히로마사,
30,오즈의 마법사: 돌아온 도로시,2015-02-12,10584100 ,0.0000 ,2166522900 ,1407 ,297087 ,14 ,50 ,미국,미국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,뮤지컬,어드벤처,가족","윌 핀,댄 세인트 피에르","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드"
31,살인의뢰,2015-03-12,10950000 ,0.0000 ,6956504237 ,1361 ,850503 ,21 ,186 ,한국,한국,(주)미인픽쳐스,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤"
32,국제시장,2014-12-17,6463000 ,0.0000 ,110889852130 ,1096 ,14252159 ,7 ,50 ,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수"
33,원스 어폰 어 타임 인 아메리카,1984-12-10,9373000 ,0.0000 ,25099000 ,1013 ,3498 ,2 ,4 ,미국,"미국,이탈리아",워너 브러더스 픽쳐스,(주)프레인글로벌,"국민학생관람불가,청소년관람불가",액션,세르지오 레오네,"엘리자베스 맥거번,트리트 윌리엄스,조 페시,제임스 우즈,제니퍼 코넬리,로버트 드니로"
34,유고와 라라: 하늘고래와 구름섬 대모험,2015-04-09,8048000 ,0.0000 ,8048000 ,1006 ,1006 ,3 ,4 ,중국,중국,,와이드 릴리즈(주),전체관람가,애니메이션,왕운비,"이재현,박리나,홍진욱,임채헌,윤세웅,유지원,권문정"
35,도라에몽 : 스탠 바이 미,2015-02-12,7300000 ,0.0000 ,3681299429 ,972 ,503469 ,16 ,46 ,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"야마자키 타카시,야기 류이치","미즈타 와사비,오오하라 메구미"
36,잔다르크의 수난,,1623000 ,0.0000 ,1623000 ,804 ,804 ,1 ,12 ,,,,,,,,
37,은하철도의 꿈,2015-04-09,6368000 ,0.0000 ,7581000 ,796 ,957 ,3 ,3 ,일본,일본,,(주)영화사오원,전체관람가,애니메이션,니시쿠보 미즈호,"요코야마 코타,이치무라 마사치카,나카마 유키에"
38,이미테이션 게임,2015-02-17,5279500 ,0.0000 ,13561627820 ,769 ,1726300 ,8 ,47 ,영국,영국,,메가박스(주)플러스엠,15세이상관람가,"드라마,스릴러",모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드"
39,소셜포비아,2015-03-12,5512500 ,0.0000 ,1957871763 ,738 ,248926 ,16 ,125 ,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철"
40,솔로몬과 시바의 여왕,1972-11-24,1334000 ,0.0000 ,7722000 ,667 ,3859 ,1 ,6 ,미국,미국,,,,드라마,킹 비더,"지나 롤로브리지다,율 브린너"
41,세계일주,2015-03-26,4581000 ,0.0000 ,31044400 ,663 ,4162 ,4 ,11 ,한국,한국,(주)쿠나,(주)나이너스엔터테인먼트,12세이상관람가,"가족,어드벤처",이항배,"김정태,박하영,구승현,최정우,지대한,나윤성,이종경"
42,"울지마, 톤즈",2010-09-09,1292000 ,0.0000 ,2529354000 ,646 ,444199 ,1 ,8 ,한국,한국,"KBS,(주)씨타마운틴픽쳐스",(주)씨타마운틴픽쳐스,전체관람가,다큐멘터리,구수환,이금희
43,리오 그란데,,4025000 ,0.0000 ,4025000 ,575 ,575 ,1 ,9 ,미국,미국,,,15세관람가,"멜로/로맨스,서부극(웨스턴)",존 포드,"존 웨인,모린 오하라"
